name,num_years,year,industry,sector,country,headquarters_state,headquarters_city,market_value_mil,market_value_currency,revenue_mil,revenue_currency,profit_mil,profit_currency,asset_mil,asset_currency,employees,employees_metric
AES,9,2023,Utilities: Gas and Electric,Energy,USA,VA,Arlington,16110.0,USD,12617.0,USD,546.0,USD,38363.0,USD,9100.0,employees
AES,9,2022,Utilities: Gas and Electric,Energy,USA,VA,Arlington,17172.0,USD,11141.0,USD,409.0,USD,32963.0,USD,8450.0,employees
AES,9,2021,Utilities: Gas and Electric,Energy,USA,VA,Arlington,18180.0,USD,9660.0,USD,46.0,USD,34603.0,USD,8162.0,employees
AGCO Corporation,13,2014,Construction and Farm Machinery,,USA,GA,,5167.0,USD,10787.0,USD,597.0,USD,8439.0,USD,,employees
AGCO Corporation,13,2013,Construction and Farm Machinery,,USA,GA,,505.75,USD,996.22,USD,522.1,USD,772.18,USD,,employees
AGCO Corporation,13,2012,Construction and Farm Machinery,,USA,GA,Duluth,,USD,8773.2,USD,,USD,,USD,,employees
AK Steel Holding Corporation,13,2014,Metals,,USA,OH,,9869.0,USD,5570.0,USD,-47.0,USD,3606.0,USD,,employees
AK Steel Holding Corporation,13,2013,Metals,,USA,OH,,45.11,USD,593.37,USD,-1027.3,USD,390.31,USD,,employees
AK Steel Holding Corporation,13,2012,Metals,,USA,OH,West Chester,,USD,6468.0,USD,,USD,,USD,,employees
ALLTEL Corporation,13,2008,Telecommunications,,USA,AR,Little Rock,,USD,8811.3,USD,,USD,,USD,,employees
ALLTEL Corporation,13,2007,Telecommunications,,USA,AR,Little Rock,,USD,9723.3,USD,,USD,,USD,,employees
ALLTEL Corporation,13,2006,Telecommunications,,USA,AR,,,USD,9487.0,USD,,USD,,USD,,employees
AMR Corporation,18,2013,Airlines,,USA,TX,,139.14,USD,248.55,USD,-1876.0,USD,235.1,USD,,employees
AMR Corporation,18,2012,Airlines,,USA,TX,Fort Worth,,USD,23979.0,USD,,USD,,USD,,employees
AMR Corporation,18,2011,Airlines,,USA,TX,Fort Worth,,USD,22170.0,USD,,USD,,USD,,employees
AT&T,12,2023,Telecommunications,Telecommunications,USA,TX,Dallas,137250.0,USD,120741.0,USD,8524.0,USD,402853.0,USD,160700.0,employees
AT&T,12,2022,Telecommunications,Telecommunications,USA,TX,Dallas,169262.0,USD,168864.0,USD,20081.0,USD,551622.0,USD,202600.0,employees
AT&T,12,2021,Telecommunications,Telecommunications,USA,TX,Dallas,215879.0,USD,171760.0,USD,5176.0,USD,525761.0,USD,230760.0,employees
Abbott Laboratories,28,2023,Medical Products and Equipment,Health Care,USA,IL,Abbott Park,175984.0,USD,43653.0,USD,6933.0,USD,74438.0,USD,115000.0,employees
Abbott Laboratories,28,2022,Medical Products and Equipment,Health Care,USA,IL,Abbott Park,208726.0,USD,43075.0,USD,7071.0,USD,75196.0,USD,113000.0,employees
Abbott Laboratories,28,2021,Medical Products and Equipment,Health Care,USA,IL,Abbott Park,212300.0,USD,34608.0,USD,4495.0,USD,72548.0,USD,109000.0,employees
"Advance Auto Parts, Inc.",12,2014,Specialty Retailers: Other,,USA,VA,,9225.0,USD,6494.0,USD,392.0,USD,5565.0,USD,,employees
"Advance Auto Parts, Inc.",12,2013,Specialty Retailers: Other,,USA,VA,,608.76,USD,62.05,USD,387.7,USD,461.38,USD,,employees
"Advance Auto Parts, Inc.",12,2012,Specialty Retailers: Other,,USA,VA,Roanoke,,USD,6170.5,USD,,USD,,USD,,employees
"Advanced Micro Devices, Inc.",14,2014,Semiconductors and Other Electronic Components,,USA,CA,,3053.0,USD,5299.0,USD,-83.0,USD,4337.0,USD,,employees
"Advanced Micro Devices, Inc.",14,2013,Semiconductors and Other Electronic Components,,USA,CA,,182.09,USD,54.22,USD,-1183.0,USD,40.0,USD,,employees
"Advanced Micro Devices, Inc.",14,2012,Semiconductors and Other Electronic Components,,USA,CA,Sunnyvale,,USD,6568.0,USD,,USD,,USD,,employees
Aetna Inc.,12,2014,Health Care: Insurance and Managed Care,,USA,CT,,27191.0,USD,47295.0,USD,1914.0,USD,49872.0,USD,,employees
